Company,cik,permno
NEOTHERAPEUTICS INC,831547,83950
REPLIGEN CORP,730272,10200
ROBBINS & MYERS INC,84290,67193
HURCO CO,315374,42922
INTERMAGNETICS GENERAL CORP,351012,44821
ANIXTER INTERNATIONAL INC,52795,46077
AMPLICON INC,803016,11246
VITESSE SEMICONDUCTOR CORP,880446,77173
HOME POINT CAPITAL INC,1830197,20435
OAKLEY INC,946356,81920
LIFECORE BIOMEDICAL INC,28626,29736
BALDWIN TECHNOLOGY CO INC,805792,71538
ATMOS ENERGY CORP,731802,32986
EXPLORATION CO,313395,33815
LINDSAY MANUFACTURING CO,836157,12211
MIDDLEBY CORP,769520,75470
DATATEC SYSTEMS INC,768119,80532
LINCOLN ELECTRIC HOLDINGS INC,59527,81678
ACMAT CORP,2062,11647
COVANCE INC,1023131,84364
SHOLODGE INC,881924,77334
CYLINK CORP,1005230,83129
ALLIED RESEARCH CORP,3952,11923
DIEBOLD INC,28823,40440
EVERTRUST FINANCIAL GROUP INC,1088514,87320
SEDONA CORP,764843,11689
CUBIC CORP,26076,31077
TERRA INDUSTRIES INC,722079,65293
NEWS COMMUNICATIONS INC,794487,76402
LYNX THERAPEUTICS INC,913275,85699
ADVANTA CORP,96638,77576
ROYAL GOLD INC,85535,67847
INTIMATE BRANDS INC,945676,82301
FREQUENCY ELECTRONICS INC,39020,62228
UNIFAB INTERNATIONAL INC,101990,85405
IMAGE SENSING SYSTEMS INC,943034,81624
NEXT LEVEL COMMUNICATIONS INC,1093802,87455
ENLIGHTEN SOFTWARE SOLUTIONS INC,919175,80477
LAIDLAW GLOBAL CORP,869026,88230
CHARMING SHOPPES INC,19353,22753
LASERSIGHT INC,879301,77230
SYCAMORE NETWORKS INC,1092367,87343
ONVIA COM INC,1100917,87797
NATIONAL PENN BANCSHARES INC,700733,56611
POPULAR INC,763901,16505
COLORADO MEDTECH INC,720013,28063
TRIPATH IMAGING INC,1041426,85351
CITIZENS FIRST FINANCIAL CORP,1006265,83444
NETRADIO CORP,1002636,87335
CHELL GROUP CORP,797313,76400
WILEY JOHN & SONS INC,107141,82932
VALASSIS COMMUNICATIONS INC,883293,77461
CONSTELLATION 3D INC,1080290,88794
FIRSTFED FINANCIAL CORP,810536,75162
CORINTHIAN COLLEGES INC,1066134,86715
STARMEDIA NETWORK INC,1057334,86920
TROY FINANCIAL CORP,1075046,86788
CROSS MEDIA MARKETING CORP,1069201,88492
MILLBROOK PRESS INC,1022899,84321
HELMERICH & PAYNE INC,46765,32707
GRACO INC,42888,39571
ZORAN CORP,1003022,82766
DEL MONTE FOODS CO,866873,86590
NAVARRE CORP,911650,80001
SYMPHONIX DEVICES INC,930481,85850
POLYONE CORP,1122976,88597
ELASTIC NETWORKS INC,1088242,88628
AMSURG CORP,895930,85676
WASHINGTON TRUST BANCORP INC,737468,11397
CABOT CORP,16040,46690
INSIGHT ENTERPRISES INC,932696,81220
CASCADE FINANCIAL CORP,928911,77898
CLICKACTION INC,944950,81725
HEALTH RISK MANAGEMENT INC,869486,76505
TITANIUM METALS CORP,1011657,83699
EMISPHERE TECHNOLOGIES INC,805326,75696
INCYTE GENOMICS INC,879169,79906
FLANDERS CORP,799526,83374
NU SKIN ENTERPRISES INC,1021561,84172
QUIDEL CORP,353569,76591
SYBRON DENTAL SPECIALTIES INC,1121302,88821
POLARIS INDUSTRIES INC,931015,75182
WABASH NATIONAL CORP,879526,77117
CURON MEDICAL INC,1114365,88623
COVENANT TRANSPORT INC,928658,80969
M & F WORLDWIDE CORP,945235,81670
NETERGY NETWORKS INC,1023731,85177
ARIBA INC,1084755,87013
SANFILIPPO JOHN B & SON,880117,77165
FILENET CORP,706015,11531
TRINITY INDUSTRIES INC,99780,55001
GLATFELTER P H CO,41719,57154
BAYCORP HOLDINGS LTD,1012127,81558
JACO ELECTRONICS INC,52971,46229
ELOQUENT INC,1003265,87651
CLENE INC,1822791,20285
ADVANTAGE MARKETING SYSTEMS INC,841866,85523
CHINAB2BSOURCING COM INC,1057695,86831
SCHOLASTIC CORP,866729,77354
LIGAND PHARMACEUTICALS INC,886163,78081
LATTICE SEMICONDUCTOR CORP,855658,75854
PRICE COMMUNICATIONS CORP,355787,69075
BIOSITE DIAGNOSTICS INC,834306,84514
MERISEL INC,724941,12260
PENWEST PHARMACEUTICALS CO,1047188,86333
LANCE INC,57528,48531
HERLEY INDUSTRIES INC,47035,41663
AEROGEN INC,1039160,88785
VOLCOM INC,1324570,90747
INTERVOICE BRITE INC,764244,89181
ALBEMARLE CORP,915913,80191
STANDARD MICROSYSTEMS CORP,93384,72486
DONEGAL GROUP INC,800457,11748
ATHEROGENICS INC,1107601,88498
FLAG FINANCIAL CORP,897509,10926
T STAMP INC,1718939,22660
VIEWPOINT CORP,919794,82727
MINERALS TECHNOLOGIES INC,891014,78015
ASTA FUNDING INC,1001258,82552
STAR PEAK CORP II,1830210,20552
SYMYX TECHNOLOGIES INC,1095330,87418
LASER PHOTONICS CORP,1807887,23415
PARK ELECTROCHEMICAL CORP,76267,35107
GLOBESPAN INC,1081197,86969
NAPRO BIOTHERAPEUTICS INC,891504,80833
TAITRON COMPONENTS INC,942126,81588
DITECH COMMUNICATIONS CORP,1080667,86959
NETRO CORP,1087779,87180
ZYGO CORP,730716,84161
AURORA FOODS INC,1060024,86112
WILLIAMS INDUSTRIES INC,107294,82991
ALLEGIANCE TELECOM INC,1058703,86238
MICROSEMI CORP,310568,53640
JOS A BANK CLOTHIERS INC,814675,80544
ATRION CORP,701288,11587
TYSON FOODS INC,100493,77730
AUTOBYTEL COM INC,1023364,86763
INTERGROUP CORP,69422,55678
TERAGLOBAL COMMUNICATIONS CORP,1071876,88267
CHANNELL COMMERCIAL CORP,1013696,83740
FEDDERS CORP,744106,80783
SPECTRANETICS CORP,789132,77271
HUNTWAY REFINING CO,1053811,80181
WESTERN POWER & EQUIPMENT CORP,939729,81762
BALLY TOTAL FITNESS HOLDING CORP,770944,82811
MULTI COLOR CORP,819220,11638
INFORMATION RESOURCES INC,714278,44194
CENTRAL VIRGINIA BANKSHARES INC,804561,79080
DIGITAL INSIGHT CORP,1037275,87314
GENZYME TRANSGENICS CORP,904973,79390
UNITED FINANCIAL CORP,1011309,10682
BATTLE MOUNTAIN GOLD CO,771498,85869
VIROLOGIC INC,1094961,88271
HUNTINGTON BANCSHARES INC,49196,42906
OCEAN BIO CHEM INC,350737,72611
FATHOM HOLDINGS INC,1753162,19555
KFORCE COM INC,930420,82212
REMEC INC,769874,83163
NEWBORN ACQUISITION CORP,1780262,19352
XTRA CORP,217591,41072
FLOW INTERNATIONAL CORP,713002,37058
HOMETOWN AUTO RETAILERS INC,1061117,86266
GLOBAL PAYMENT TECHNOLOGIES INC,933020,81242
ELCOM INTERNATIONAL INC,900096,82693
CHOICETEL COMMUNICATIONS INC,1031927,85572
FIRST NORTHWEST BANCORP,1556727,15178
ATTORNEYS COM INC,1010615,83546
EXABYTE CORP,855109,75834
TARGETED GENETICS CORP,921114,80577
AFFILIATED MANAGERS GROUP INC,1004434,85593
NOBILITY HOMES INC,72205,57745
FIRST BANCORP OF INDIANA INC,1074543,86823
NATROL INC,1025573,86284
WOLVERINE WORLD WIDE INC,110471,42286
AMREP CORP,6207,38746
ORTHOLOGIC CORP,887151,78836
ASPECT COMMUNICATIONS CORP,779390,76165
CIRCLE GROUP HOLDINGS INC,1052257,90065
WALTER INDUSTRIES INC,837173,82540
WELLMAN INC,812708,11384
JWGENESIS FINANCIAL CORP,1057412,10624
CAL MAINE FOODS INC,16160,20598
VIALOG CORP,1016601,86740
ALTIGEN COMMUNICATIONS INC,1003607,87301
O CHARLEYS INC,864233,76223
BILLSERV COM INC,1088034,87753
WILLOW GROVE BANCORP INC,1163428,86543
DIAMOND OFFSHORE DRILLING INC,949039,82298
BORDERS GROUP INC,940510,81654
WEIS MARKETS INC,105418,42059
SYSTEMAX INC,945114,81665
ACTEL CORP,907687,79467
SKYLINE CORP,90896,38850
GRAND TOYS INTERNATIONAL INC,814463,79836
ENERSYS,1289308,90249
BROOKSTONE INC,830134,78956
FINANCIAL PERFORMANCE CORP,798600,88630
FIDELITY BANCORP INC,912219,11506
FEATHERLITE INC,928064,80932
CLASSIC COMMUNICATIONS INC,1069602,87480
FLAMEMASTER CORP,37358,36709
RES CARE INC,776325,78197
KAYDON CORP,740694,47205
OLYMPIC CASCADE FINANCIAL CORP,1023844,11441
TTM TECHNOLOGIES INC,1116942,88648
CASS INFORMATION SYSTEMS INC,708781,83738
DIVERSA CORP,1049210,87601
REGISTER COM INC,1091284,87806
MONACO COACH CORP,910619,79607
LIFELINE SYSTEMS INC,720195,49534
MATRIX BANCORP INC,944725,84108
EVERCEL INC,1071119,86821
SPECIALTY CATALOG CORP,1020897,84066
GOODYEAR TIRE & RUBBER CO,42582,16432
EDGEWATER TECHNOLOGY INC,1017968,83965
CALDERA SYSTEMS INC,1102542,87756
ANTHONY & SYLVAN POOLS CORP,1067606,87188
ALLEN TELECOM INC,3721,44740
OILGEAR CO,74058,59222
TERAFORCE TECHNOLOGY CORP,316672,78268
SONOSITE INC,1055355,86003
J NET ENTERPRISES INC,351903,46181
WIND RIVER SYSTEMS INC,833829,79121
NEOFORMA COM INC,1096219,87574
CROMPTON CORP,1091862,38420
SIEBERT FINANCIAL CORP,65596,53373
MOTOR CARGO INDUSTRIES INC,1047073,85536
NITCHES INC,772263,85885
ESENJAY EXPLORATION INC,901611,79827
JACK IN THE BOX INC,807882,77453
V I TECHNOLOGIES INC,1040017,86198
DELCO REMY INTERNATIONAL INC,1046859,85646
EXPONENT INC,851520,76261
ORIOLE HOMES CORP,74928,65015
SOBIESKI BANCORP INC,934860,81511
BANKATLANTIC BANCORP INC,921768,83239
CARBO CERAMICS INC,1009672,83366
TWIST BIOSCIENCE CORP,1581280,18214
UNITED AUTO GROUP INC,1019849,84042
NEUROBIOLOGICAL TECHNOLOGIES INC,918112,80258
AIR T INC,353184,11368
FIRST LEESPORT BANCORP INC,775662,79584
LACROSSE FOOTWEAR INC,919443,80434
NANOMETRICS INC,704532,90377
CORVAS INTERNATIONAL INC,882100,77294
GENERAL CHEMICAL GROUP INC,929697,83449
VERAMARK TECHNOLOGIES INC,747605,90310
THERAGENICS CORP,795551,10644
WHITE ELECTRONIC DESIGNS CORP,13606,39757
UGLY DUCKLING CORP,1012704,83703
NORTH COAST ENERGY INC,839950,76405
HORIZON ORGANIC HOLDING CORP,1041255,86267
EXCEL LEGACY CORP,1050671,86400
